date,precipitation
2022-04-01,77.29
2022-03-01,47.42
2022-02-01,50.09
2022-01-01,59.28
2021-12-01,56.53
2021-11-01,65.86
2021-10-01,64.36
2021-09-01,66.69
2021-08-01,68.81
2021-07-01,75.16
2021-06-01,78.09
2021-05-01,76.58
2021-04-01,79.27
2021-03-01,49.17
2021-02-01,49.37
2021-01-01,59.36
2020-12-01,58.16
2020-11-01,64.99
2020-10-01,65.27
2020-09-01,66.75
2020-08-01,69.53
2020-07-01,75.19
2020-06-01,78.74
2020-05-01,78.03
2020-04-01,79.67
2020-03-01,48.34
2020-02-01,50.2
2020-01-01,56.21
2019-12-01,56.58
2019-11-01,66.25
2019-10-01,63.27
2019-09-01,66.68
2019-08-01,69.37
2019-07-01,74.06
2019-06-01,78.28
2019-05-01,77.42
2019-04-01,77.93
2019-03-01,47.45
2019-02-01,48.3
2019-01-01,54.82
2018-12-01,55.9
2018-11-01,64.68
2018-10-01,63.19
2018-09-01,67.36
2018-08-01,66.67
2018-07-01,75.59
2018-06-01,77.44
2018-05-01,76.56
2018-04-01,74.75
2018-03-01,47.15
2018-02-01,48.27
2018-01-01,53.47
2017-12-01,56.13
2017-11-01,65.46
2017-10-01,62.87
2017-09-01,69.97
2017-08-01,65.92
2017-07-01,77.94
2017-06-01,76.48
2017-05-01,72.79
2017-04-01,72.72
2017-03-01,46.37
2017-02-01,46.84
2017-01-01,53.03
2016-12-01,55.79
2016-11-01,65.1
2016-10-01,63.34
2016-09-01,74.83
2016-08-01,68.56
2016-07-01,80.69
2016-06-01,77.85
2016-05-01,74.16
2016-04-01,72.52
2016-03-01,45.33
2016-02-01,46.39
2016-01-01,52.64
2015-12-01,55.47
2015-11-01,69.32
2015-10-01,62.83
2015-09-01,74.69
2015-08-01,71.59
2015-07-01,82.92
2015-06-01,73.75
2015-05-01,74.59
2015-04-01,71
2015-03-01,47.47
2015-02-01,48.12
2015-01-01,54.14
2014-12-01,56.37
2014-11-01,70.19
2014-10-01,61.85
2014-09-01,73.75
2014-08-01,72.43
2014-07-01,82.17
2014-06-01,72.12
2014-05-01,76.15
2014-04-01,69.9
2014-03-01,48.55
2014-02-01,48.27
2014-01-01,53.6
2013-12-01,56.91
2013-11-01,71.96
2013-10-01,62.39
2013-09-01,73.28
2013-08-01,73.86
2013-07-01,76.72
2013-06-01,69.87
2013-05-01,76.92
2013-04-01,69
2013-03-01,50.41
2013-02-01,46.56
2013-01-01,52.51
2012-12-01,57.66
2012-11-01,74.78
2012-10-01,59.62
2012-09-01,73.54
2012-08-01,76.12
2012-07-01,74.42
2012-06-01,71.07
2012-05-01,76.95
2012-04-01,68.98
2012-03-01,51.97
2012-02-01,46.61
2012-01-01,52.51
2011-12-01,57.06
2011-11-01,73.44
2011-10-01,60.15
2011-09-01,74.15
2011-08-01,77.99
2011-07-01,75.56
2011-06-01,71.15
2011-05-01,74.15
2011-04-01,67.42
2011-03-01,49.52
2011-02-01,47.25
2011-01-01,51.51
2010-12-01,57.99
2010-11-01,72.41
2010-10-01,61.2
2010-09-01,72.98
2010-08-01,77.28
2010-07-01,78.65
2010-06-01,67.74
2010-05-01,74.07
2010-04-01,69.94
2010-03-01,50.19
2010-02-01,46.96
2010-01-01,51.95
2009-12-01,58.68
2009-11-01,74.55
2009-10-01,61.64
2009-09-01,73.13
2009-08-01,74.96
2009-07-01,78.09
2009-06-01,67.79
2009-05-01,75.35
2009-04-01,68.44
2009-03-01,49.5
2009-02-01,45.63
2009-01-01,52.79
2008-12-01,57.39
2008-11-01,73.65
2008-10-01,62.19
2008-09-01,74.82
2008-08-01,73.99
2008-07-01,73.07
2008-06-01,64.95
2008-05-01,75.33
2008-04-01,68.75
2008-03-01,48.77
2008-02-01,42.34
2008-01-01,53.16
2007-12-01,57.71
2007-11-01,73.59
2007-10-01,63.13
2007-09-01,79.01
2007-08-01,76.74
2007-07-01,75.44
2007-06-01,66.98
2007-05-01,73.82
2007-04-01,69.07
2007-03-01,50.06
2007-02-01,42.4
2007-01-01,53.1
2006-12-01,56.83
2006-11-01,71.6
2006-10-01,61.27
2006-09-01,78.75
2006-08-01,77.57
2006-07-01,74.66
2006-06-01,68.24
2006-05-01,74.91
2006-04-01,69.39
2006-03-01,52.31
2006-02-01,41.88
2006-01-01,52.37
2005-12-01,57.2
2005-11-01,70.02
2005-10-01,61.52
2005-09-01,78.28
2005-08-01,76.67
2005-07-01,75.69
2005-06-01,69.27
2005-05-01,76.57
2005-04-01,68.46
2005-03-01,53.35
2005-02-01,41.78
2005-01-01,51.74
